Código do Ativo;Empresa;Série;Emissão;IPO;Situação;ISIN;Registro CVM da Emissão;Data de Registro CVM da Emissão;Registro CVM do Programa;Data de Registro CVM do Programa;Data de Emissão; Data de Vencimento;Motivo de Saída ;Data de Saída / Novo Vencimento; Data do Início da Rentabilidade;Data do Início da Distribuição;Data da Próxima Repactuação;Ato Societário (1);Data do Ato (1);Ato Societário (2);Data do Ato (2);Forma;Garantia/Espécie;Classe;Quantidade Emitida;Artigo 14º;Artigo 24º;Quantidade em Mercado;Quantidade em Tesouraria;Quantidade Resgatada;Quantidade  Cancelada;Quantidade Convertida no SND;Quantidade Convertida fora do SND;Quantidade Permutada no SND;Quantidade Permutada fora do SND;Unidade Monetária;Valor Nominal na Emissão;Unidade Monetária;Valor Nominal Atual;Data Últ VNA;Índice;Tipo;Critério de Cálculo;Dia de Referência para Índice de Preços;Critério para Índice;Corrige a cada;Percentual Multiplicador/Rentabilidade;Limite da TJLP;Tipo de Tratamento do Limite da TJLP;Juros Critério Antigo do SND;Prêmios Critério Antigo do SND;Amortização - Taxa;Amortização - Cada;Amortização - Unidade;Amortização - Carência;Amortização - Critério;Tipo de Amortização;Juros Critério Novo - Taxa;Juros Critério Novo - Prazo;Juros Critério Novo - Cada;Juros Critério Novo - Unidade;Juros Critério Novo - Carência;Juros Critério Novo - Critério;Juros Critério Novo - Tipo;Prêmio Critério Novo - Taxa;Prêmio Critério Novo - Prazo;Prêmio Critério Novo - Cada;Prêmio Critério Novo - Unidade;Prêmio Critério Novo - Carência;Prêmio Critério Novo - Critério;Prêmio Critério Novo - Tipo;Participação - Taxa;Participação - Cada;Participação - Unidade;Participação - Carência;Participação - Descrição;Rating1;Agência Classificadora;Rating2;Agência Classificadora;Rating3;Agência Classificadora;Banco Mandatário;Agente Fiduciário;Instituição Depositária;Coordenador Líder;CNPJ;Deb Incent (Lei 12431);Escritura Padronizada;Resgate Antecipado
ABC41 ;PARTICIPACOES ABC S/A;'004;'001;ND;Excluído;BRPTABDBS045;SEP/GER/DEB - 95/049;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC42 ;PARTICIPACOES ABC S/A;'013;'001;ND;Excluído;BRPTABDBS0D2;SEP/GER/DEB - 95/058;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC43 ;PARTICIPACOES ABC S/A;'022;'001;ND;Excluído;BRPTABDBS0M3;SEP/GER/DEB - 95/067;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC51 ;PARTICIPACOES ABC S/A;'005;'001;ND;Excluído;BRPTABDBS052;SEP/GER/DEB - 95/050;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC52 ;PARTICIPACOES ABC S/A;'014;'001;ND;Excluído;BRPTABDBS0E0;SEP/GER/DEB - 95/059;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC61 ;PARTICIPACOES ABC S/A;'006;'001;ND;Excluído;BRPTABDBS060;SEP/GER/DEB - 95/051;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC62 ;PARTICIPACOES ABC S/A;'015;'001;ND;Excluído;BRPTABDBS0F7;SEP/GER/DEB - 95/060;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC71 ;PARTICIPACOES ABC S/A;'007;'001;ND;Excluído;BRPTABDBS078;SEP/GER/DEB - 95/052;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC72 ;PARTICIPACOES ABC S/A;'016;'001;ND;Excluído;BRPTABDBS0G5;SEP/GER/DEB - 95/061;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC81 ;PARTICIPACOES ABC S/A;'008;'001;ND;Excluído;BRPTABDBS086;SEP/GER/DEB - 95/053;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC82 ;PARTICIPACOES ABC S/A;'017;'001;ND;Excluído;BRPTABDBS0H3;SEP/GER/DEB - 95/062;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC91 ;PARTICIPACOES ABC S/A;'009;'001;ND;Excluído;BRPTABDBS094;SEP/GER/DEB - 95/054;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABC92 ;PARTICIPACOES ABC S/A;'018;'001;ND;Excluído;BRPTABDBS0I1;SEP/GER/DEB - 95/063;19/7/1995;;;23/5/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/5/1997;24/7/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11727,040000;R$;0,000000;23/9/2003;IGP-M;Correção Monetária;Não Padrão - SND;00;DC;000;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA;;ITAU UNIBANCO SA; 00635156000149;N; n ;
ABEN11;ABENGOA CONCESSOES BRASIL HOLDING S/A;'ÚNI;'001;ND;Excluído;BRABNGDBS005;DISPENSA ICVM 476/09;16/5/2013;;;17/5/2013;17/05/2018;RESGATE TOTAL ANTECIPADO;;17/5/2013;17/5/2013;-;AGE;08/04/2013;;;Escritural;Quirografária;Simples;7500;0,;0,;0;0;7500;0,;0,;0;0,;0;R$;10000,000000;R$;10000,000000;10/10/2014;DI;Integrante de Juros;Padrão - SND;;-;;100,00;0,000;-;;;20,0000;6;MES;17/5/2016;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;3,0000;252;6;MES;17/11/2013;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;OLIVEIRA TRUST DTVM SA;ITAU CV S/A;BB BCO DE INVESTIMENTO S/A; 07872408000100;N; n ;
ABEN12;ABENGOA CONCESSOES BRASIL HOLDING S/A;'ÚNI;'002;ND;Excluído;BRABNGDBS013;DISPENSA ICVM 476/09;3/12/2013;;;2/12/2013;02/12/2016;RESGATE TOTAL ANTECIPADO;;2/12/2013;4/12/2013;-;AGE;18/11/2013;;;Escritural;Quirografária;Simples;7500;0,;0,;0;0;7500;0,;0,;0;0,;0;R$;10000,000000;R$;10000,000000;8/10/2014;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;-;6;MES;2/6/2015;-;Percentual variável sobre o valor nominal de emissão em períodos uniformes;4,2000;252;6;MES;02/06/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO CITIBANK S/A;OLIVEIRA TRUST DTVM SA;BANCO CITIBANK S/A;BES INVESTIMENTO DO BRASIL S/A - BCO DE INVESTIMENTO; 07872408000100;N; n ;
ABEV11;AMBEV SA;'ÚNI;'001;ND;Registrado;BRABEVDBS003;DISPENSA ICVM 476/09;30/10/2015;;;30/10/2015;30/10/2021; - - - - - - ;;3/11/2015;30/10/2015;-;RCA;28/08/2015;RCA;14/10/2015;Escritural;Quirografária;Simples;1000;0,;0,;1000;0;0;0,;0,;0;0,;0;R$;1000000,000000;R$;1000000,000000;21/7/2016;PRÉ;  - ;Padrão - SND;;-;;0,00;0,000;-;;;-;-;-;-;-;-;14,4760;252;12;MES;30/10/2016;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;SIMPLIFIC PAVARINI DTVM LTDA;ITAU CV S/A;BANCO ITAU-BBA S/A; 07526557000100;S; n ;
ABMX11;ABIMEX IMPORTACAO E EXPORTACAO S/A;'ÚNI;'001;ND;Registrado;BRABMXDBS002;DISPENSA ICVM 476/09;11/4/2012;;;10/4/2012;10/04/2018; - - - - - - ;;12/4/2012;-;-;AGE;16/03/2012;;;Escritural;Quirografária;Simples;60;0,;0,;60;0;0;0,;0,;0;0,;0;R$;1000000,000000;R$;350000,000000;21/7/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;5,0000;3;MES;10/7/2013;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;1,3000;252;1;MES;10/05/2012;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A; 07121351000108;N; n ;
ABNB11;VALID SOLUCOES E SERVICOS DE SEGURANCA EM MEIOS DE PAGAMENTO E IDENTIFICACAO S/A;'UNI;'001;Não;Excluído;BRVLIDDBS007;CVM/SRE/DEB-2008/015;25/4/2008;;;20/4/2008;20/04/2013;VENCIMENTO;;20/4/2008;29/4/2008;-;RCA;28/01/2008;RCA;03/03/2008;Escritural;Quirografária;Simples;18000;1500;0;0;0;17741;0;0;0;0;0;R$;10000,000000;R$;2000,000000;22/4/2013;DI;Integrante de Juros;Padrão - SND;;DU;   ;100,00;0,000;-;;;20,0000;6;MES;20/4/2011;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;1,5000;252;6;MES;20/10/2008;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;OLIVEIRA TRUST DTVM SA;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A; 33113309000147;N; n ;
ACDL11;ASCENTY DATA CENTERS LOCACAO E SERVICOS SA;'ÚNI;'001;ND;Excluído;BRASCYDBS005;DISPENSA ICVM 476/09;30/10/2013;;;15/10/2013;15/10/2018;RESGATE TOTAL ANTECIPADO;;31/10/2013;31/10/2013;-;AGE;15/10/2013;;;Escritural;Quirografária;Simples;20000;0,;0,;0;0;20000;0,;0,;0;0,;0;R$;10000,000000;R$;10000,000000;26/9/2014;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;33,3300;12;MES;15/10/2016;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;3,9500;252;6;MES;15/04/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PENTAGONO S/A DTVM;ITAU CV S/A;ITAU UNIBANCO SA; 13743550000142;N; n ;
ACDL12;ASCENTY DATA CENTERS LOCACAO E SERVICOS SA;'ÚNI;'002;ND;Registrado;BRASCYDBS013;DISPENSA ICVM 476/09;25/9/2014;;;22/9/2014;22/09/2019; - - - - - - ;;26/9/2014;26/9/2014;-;AGE;08/09/2014;;;Escritural;Quirografária;Simples;35000;0,;0,;35000;0;0;0,;0,;0;0,;0;R$;10000,000000;R$;10000,000000;21/7/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;33,3300;12;MES;22/9/2017;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;3,9500;252;6;MES;22/03/2015;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PENTAGONO S/A DTVM;ITAU CV S/A;BANCO ITAU-BBA S/A; 13743550000142;N; n ;
ACEC11;ACECO TI S/A;'ÚNI;'001;ND;Excluído;BRACECDBS001;DISPENSA ICVM 476/09;14/11/2013;;;11/11/2013;11/11/2016;RESGATE TOTAL ANTECIPADO;;11/11/2013;18/11/2013;-;AGE;04/11/2013;;;Escritural;Quirografária;Simples;50;0,;0,;0;0;50;0,;0,;0;0,;0;R$;1000000,000000;R$;1000000,000000;27/6/2014;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;-;-;-;-;-;-;1,8000;252;3;MES;11/02/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;OLIVEIRA TRUST DTVM SA;ITAU CV S/A;BANCO SANTANDER BRASIL SA; 43209436000106;N; n ;
