Emissor;Ativo;Data de Registro CVM;Data de Emissão;Data da 1ª Repactuação;Data de Vencimento;Prazo (em anos) de Vencimento;Prazo (em anos) de Repactuação;Sit;Tipo de Remuneração;Tipo de Correção;Forma;Classe;Garantia;Ramo
VIVER INCORPORADORA E CONSTRUTORA S/A;INPS11;09/02/2011;10/02/2011;-;01/10/2016;5,6;-;Reg;TR;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
UNIMED RIO PARTICIPACOES E INVESTIMENTOS SA;UNPR11;25/04/2013;28/03/2013;-;28/10/2018;5,6;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Assist Médica/Prod Farmacêuticos
CASA E VIDEO RIO DE JANEIRO S/A;CVRJ16;27/04/2015;13/04/2015;-;13/12/2020;5,7;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
ESTRE AMBIENTAL SA;ETAM11;24/08/2011;27/06/2011;-;09/03/2017;5,7;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;Saneamento
CASA E VIDEO RIO DE JANEIRO S/A;CVRJ15;29/05/2014;30/05/2014;-;15/03/2020;5,8;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
USINA ACUCAREIRA ESTER S/A;ESTR11;15/03/2016;11/03/2016;-;11/12/2021;5,8;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;
KURUMA VEICULOS S/A;KRMA11;22/12/2014;18/12/2014;-;18/09/2020;5,8;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
MARFRIG GLOBAL FOODS SA;MRFG14;12/04/2013;22/03/2013;-;22/01/2019;5,8;-;Reg;PRÉ;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
CYRELA COMMERCIAL PROPERTIES S/A EMPREENDIMENTOS E PARTICIPACOES;CCPE15;07/10/2013;12/09/2013;-;15/08/2019;5,9;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
CYRELA COMMERCIAL PROPERTIES S/A EMPREENDIMENTOS E PARTICIPACOES;CCPE25;07/10/2013;12/09/2013;-;15/08/2019;5,9;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
OCEANIC INCORPORACOES E ADMINISTRACAO S/A;OCIA11;24/04/2012;04/04/2012;-;20/02/2018;5,9;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
PDG REALTY S/A EMPREENDIMENTOS E PARTICIPACOES;PDGP15;23/09/2010;23/09/2010;-;01/08/2016;5,9;-;Reg;TR;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
AMBEV SA;ABEV11;30/10/2015;30/10/2015;-;30/10/2021;6,0;-;Reg;PRÉ;Integrante de Juros;Escritural;Não Conversível;Quirografária;Empr e Part
ABIMEX IMPORTACAO E EXPORTACAO S/A;ABMX11;11/04/2012;10/04/2012;-;10/04/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
AEGEA INVESTIMENTOS SA;AEGE12;14/05/2015;30/04/2015;-;30/04/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;
ALGAR TELECOM SA;ALGA15;08/06/2016;15/05/2016;-;15/05/2022;6,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
ALUPAR INVESTIMENTO S/A;ALPA14;08/02/2012;03/02/2012;-;03/02/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
ALUPAR INVESTIMENTO S/A;APAR16;13/05/2015;15/04/2015;-;15/04/2021;6,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
ARTECOLA QUIMICA SA;ARTC11;19/12/2014;27/11/2014;-;27/11/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Indústria e Comércio
BCBF PARTICIPACOES SA;BCBF11;20/05/2014;05/05/2014;-;05/05/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Empr e Part
BINGEN SECURITIZADORA S/A;BGEN11;11/12/2012;01/12/2012;-;01/12/2018;6,0;-;Reg;IGP-M;Correção Monetária;Escritural;Não Conversível;Real;Financeiro
AUTO ADESIVOS PARANA SA;CCRR11;08/06/2012;21/05/2012;-;21/05/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Indústria e Comércio
BRINOX METALURGICA SA;CELE11;27/06/2011;30/06/2011;-;30/06/2017;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Bens de Consumo
CELESC DISTRIBUICAO SA;CLCD11;16/05/2013;15/05/2013;-;15/05/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CREMER S/A;CMER14;16/04/2014;15/04/2014;-;15/04/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Assist Médica/Prod Farmacêuticos
COMPANHIA PERNAMBUCANA DE SANEAMENTO;CPES13;30/05/2016;16/05/2016;-;22/05/2022;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;
COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;CSMG29;27/08/2015;15/08/2015;-;15/08/2021;6,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
DISMOBRAS IMPORTACAO EXPORTACAO E DISTRIBUICAO DE MOVEIS E ELETRODOMESTICOS S/A;DISM11;17/06/2014;16/05/2014;-;16/05/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
CAMIL ALIMENTOS S/A;DOCE11;11/10/2012;04/10/2012;-;04/10/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
EMPRESA AMAZONENSE DE TRANSMISSAO DE ENERGIA SA;EATE14;19/08/2014;07/08/2014;-;07/08/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
ECORODOVIAS CONCESSOES E SERVICOS S/A;ECCR12;18/10/2012;15/10/2012;-;15/10/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
ELETROPAULO METROPOL ELETR DE SP S/A;ELSPA5;18/10/2012;09/10/2012;-;09/10/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
EDP ENERGIAS DO BRASIL SA;ENBR24;06/10/2015;15/09/2015;-;15/09/2021;6,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
COMPANHIA ENERGETICA DO MARANHAO - CEMAR;ENMA14;20/06/2012;21/06/2012;-;21/06/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A;ENSE13;29/10/2013;30/10/2013;-;30/10/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
EMPRESA NORTE DE TRANSMISSAO DE ENERGIA SA;ENTE12;18/08/2014;07/08/2014;-;07/08/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
ESPIRITO SANTO CENTRAIS ELETRICAS S/A - ESCELSA;ESCE13;26/08/2014;27/08/2014;-;27/08/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
EMPRESA PARAENSE DE TRANSMISSAO DE ENERGIA S/A;ETEP12;19/08/2014;07/08/2014;-;07/08/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
COMPANHIA DE GAS DE SAO PAULO - COMGAS;GASP13;07/10/2013;15/09/2013;-;15/09/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Petróleo e Gás
GAFISA S/A;GFSA28;29/10/2010;15/10/2010;-;15/10/2016;6,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Construção Civil
IGUATEMI EMPRESA DE SHOPPING CENTERS SA;IGTA13;13/02/2012;01/02/2012;-;01/02/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Adm Shopping Centers
ITAPEBI GERACAO DE ENERGIA S/A;ITAP13;26/04/2011;20/04/2011;-;20/04/2017;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
JCPM PARTICIPACOES E EMPREENDIMENTOS S/A;JCPM11;25/04/2013;19/04/2013;-;19/04/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Empr e Part
JCPM PARTICIPACOES E EMPREENDIMENTOS S/A;JCPM12;28/05/2013;16/05/2013;-;16/05/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Flutuante;Empr e Part
JSL SA;JSML17;28/10/2013;24/10/2013;-;24/10/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
LOJAS AMERICANAS S/A;LAME16;30/01/2012;26/01/2012;-;26/01/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
LOJAS AMERICANAS S/A;LAME26;30/01/2012;26/01/2012;-;26/01/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
LOJAS AMERICANAS S/A;LAME27;20/12/2012;21/12/2012;-;21/12/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
LOJAS AMERICANAS S/A;LAME28;23/07/2013;15/07/2013;-;15/07/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
COMPANHIA DE LOCACAO DAS AMERICAS;LCAM19;04/08/2014;28/07/2014;-;28/07/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
LOCALFRIO SA - ARMAZENS GERAIS FRIGORIFICOS;LCRF11;25/11/2010;23/11/2010;-;23/11/2016;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;Transporte e Logística
LAJEADO ENERGIA SA;LJDE11;05/12/2013;25/11/2013;-;25/11/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
LOJAS INSINUANTE S/A;LJIN11;27/06/2014;16/05/2014;-;16/05/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Comércio Varejista
LOCALIZA RENT A CAR S/A;LORT18;09/09/2014;10/09/2014;-;10/09/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
LOCALIZA RENT A CAR S/A;LORT19;06/05/2015;30/04/2015;-;30/04/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
LOJAS RENNER S/A;LRNE15;24/07/2012;15/06/2012;-;15/06/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
LOJAS RENNER S/A;LRNE24;26/07/2011;15/07/2011;-;15/07/2017;6,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Comércio Varejista
LIGHT SERVICOS DE ELETRICIDADE S/A;LSVE10;12/05/2014;09/05/2014;-;09/05/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
MAQUINA DE VENDAS BRASIL PARTICIPACOES S/A;MAQN11;12/06/2014;16/05/2014;-;16/05/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Comércio Varejista
MRS LOGISTICA S/A;MRSL16;10/12/2013;10/12/2013;-;10/12/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
MRS LOGISTICA S/A;MRSS15;17/07/2012;18/07/2012;-;18/07/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
MTEL TECNOLOGIA SA;MTEL15;08/01/2015;16/12/2014;-;16/12/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS S/A;MULP13;14/10/2014;15/10/2014;-;15/10/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Adm Shopping Centers
NOTRE DAME INTERMEDICA SAUDE S/A;NOTR11;26/11/2015;09/11/2015;-;09/11/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Assist Médica/Prod Farmacêuticos
ODEBRECHT SERVICOS E PARTICIPACOES S/A;ODSP32;26/11/2013;29/10/2013;-;08/11/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
PARNAIBA GAS NATURAL SA;OGXM12;11/03/2014;28/02/2014;-;28/02/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Petróleo e Gás
PDL 10 COMPANHIA SECURITIZADORA DE CREDITOS  FINANCEIROS;PDLS11;13/10/2015;01/10/2015;-;01/10/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;
PDL 10 COMPANHIA SECURITIZADORA DE CREDITOS  FINANCEIROS;PDLS21;13/10/2015;01/10/2015;-;01/10/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;
PDL 10 COMPANHIA SECURITIZADORA DE CREDITOS  FINANCEIROS;PDLS31;13/10/2015;01/10/2015;-;01/10/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;
PDL 10 COMPANHIA SECURITIZADORA DE CREDITOS  FINANCEIROS;PDLS41;13/10/2015;01/10/2015;-;01/10/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;
PDL 10 COMPANHIA SECURITIZADORA DE CREDITOS  FINANCEIROS;PDLS51;13/10/2015;01/10/2015;-;01/10/2021;6,0;-;Reg;SEM-ÍNDICE;-;Escritural;Não Conversível;Subordinada;
PETROLEO BRASILEIRO S/A - PETROBRAS;PETR14;12/06/2014;20/05/2014;-;20/05/2020;6,0;-;Reg;DI;Correção Monetária;Escritural;Não Conversível;Quirografária;Petróleo e Gás
DIMED SA   DISTRIBUIDORA DE MEDICAMENTOS;PNVL11;07/11/2014;22/09/2014;-;22/09/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Assist Médica/Prod Farmacêuticos
QUEIROZ GALVAO DESENVOLVIMENTO IMOBILIARIO SA;QGIM12;04/07/2012;05/07/2012;-;05/07/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
RBS PARTICIPACOES SA;RBSA12;18/09/2013;16/09/2013;-;16/09/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Mídia
SAMAR-SOLUCOES AMBIENTAIS DE ARACATUBA S/A;SLUA11;26/12/2012;20/12/2012;-;20/12/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;
SOARES PENIDO PARTICIPACOES E EMPREENDIMENTOS S/A;SPPE14;28/08/2015;25/08/2015;-;25/08/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Empr e Part
STN - SISTEMA DE TRANSMISSAO NORDESTE SA;STSN11;15/08/2014;07/08/2014;-;07/08/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
SANTHER - FABRICA DE PAPEL SANTA THEREZINHA S/A;STTZ16;26/06/2012;15/06/2012;-;15/06/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Papel e Celulose
TECNISA S/A;TCNS33;27/09/2011;15/09/2011;-;15/09/2017;6,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Construção Civil
TERMOPERNAMBUCO SA;TERP24;19/12/2013;15/12/2013;-;15/12/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
TEGMA GESTAO LOGISTICA S/A;TGMA21;21/02/2013;15/02/2013;-;15/02/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
AES TIETE ENERGIA S/A;TIET12;20/05/2013;15/05/2013;-;15/05/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
AES TIETE ENERGIA S/A;TIET13;20/03/2014;20/03/2014;-;20/03/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
WTORRE SA;TORR11;06/02/2013;07/01/2013;-;07/01/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
WTORRE SA;TORR12;12/09/2014;18/08/2014;-;18/08/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
COMPANHIA TRANSLESTE DE TRANSMISSAO;TRLT11;15/08/2014;07/08/2014;-;07/08/2020;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
TRX HOLDING  INVESTIMENTOS E PARTICIPACOES SA;TRXH11;02/09/2015;17/08/2015;-;17/08/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;
TUPER SA;TUPE12;24/06/2013;15/05/2013;-;15/05/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Metalurgia e Siderurgia
USINAS SIDERURGICAS DE MG S/A - USIMINAS;USIM16;29/01/2013;30/01/2013;-;30/01/2019;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Metalurgia e Siderurgia
UTC PARTICIPACOES S/A;UTCP23;28/01/2016;30/12/2015;-;30/12/2021;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Empr e Part
VIDEOLAR SA;VDLA11;27/10/2014;25/10/2014;-;25/10/2020;6,0;-;Reg;DOLAR;Integrante de Juros;Escritural;Não Conversível;Real;Indústria e Comércio
VIX LOGISTICA S/A;VIXL11;10/09/2010;10/09/2010;-;10/09/2016;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Flutuante;Transporte e Logística
VOTORANTIM CIMENTOS S/A;VTCM15;04/12/2012;05/12/2012;-;05/12/2018;6,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Cimentos
BNDES PARTICIPACOES S/A - BNDESPAR;BNDS35;10/12/2010;01/12/2010;-;15/01/2017;6,1;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Empr e Part
TIVIT TERCEIRIZACAO DE PROCESSOS SERVICOS E TECNOLOGIA S/A;DTHL11;21/12/2010;15/12/2010;-;15/01/2017;6,1;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;TI e Telecomunicações
EDP ENERGIAS DO BRASIL SA;ENBR15;06/04/2016;22/03/2016;-;15/04/2022;6,1;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
PDG REALTY S/A EMPREENDIMENTOS E PARTICIPACOES;PDGE14;13/08/2010;10/08/2010;-;29/08/2016;6,1;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
AES SUL DISTR GAUCHA DE ENERGIA SA;AESL23;22/06/2015;28/05/2015;-;15/08/2021;6,2;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
AES SUL DISTR GAUCHA DE ENERGIA SA;AESL33;22/06/2015;28/05/2015;-;15/08/2021;6,2;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
AES SUL DISTR GAUCHA DE ENERGIA SA;AESL43;22/06/2015;28/05/2015;-;15/08/2021;6,2;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
EMPRESA BRASILEIRA DE AGREGADOS MINERAIS S/A;EBAG12;27/04/2015;28/04/2015;-;28/06/2021;6,2;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Mineração
VIVER INCORPORADORA E CONSTRUTORA S/A;INPS12;28/06/2011;24/06/2011;-;24/09/2017;6,3;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
CIPASA DESENVOLVIMENTO URBANO S/A;CPDU12;23/10/2014;07/10/2014;-;12/03/2021;6,4;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
ISOLUX ENERGIA E PARTICIPACOES S/A;ISOL13;18/12/2013;15/12/2013;-;15/05/2020;6,4;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
ISOLUX ENERGIA E PARTICIPACOES S/A;ISOL23;18/12/2013;15/12/2013;-;15/05/2020;6,4;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
BRASOIL MANATI EXPLORACAO PETROLIFERA SA;BSOI21;03/01/2011;04/01/2011;-;04/07/2017;6,5;-;Reg;IGP-M;Correção Monetária;Escritural;Não Conversível;Real;Petróleo e Gás
BATTISTELLA ADMINISTRACAO E PARTICIPACOES S/A;BTTP13;24/06/2011;27/06/2011;-;10/12/2017;6,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Empr e Part
PORTONAVE SA- TERMINAIS PORTUARIOS DE NAVEGANTES;PTPN32;26/06/2014;27/06/2014;-;27/12/2020;6,5;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Transporte e Logística
UNIPAR CARBOCLORO S/A;UNIP12;26/12/2013;02/11/2013;-;02/05/2020;6,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Química e Petroquímica
COMPANHIA MELHORAMENTOS  NORTE DO PARANA;CMNP11;09/05/2013;22/04/2013;-;30/11/2019;6,6;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Agronegócios
REALTY VII EMP IMOBILIARIOS SA;RCRE11;27/08/2012;01/08/2012;-;27/02/2019;6,6;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Outros
COMPANHIA SIDERURGICA NACIONAL;CSNA19;01/07/2015;25/06/2015;-;30/03/2022;6,8;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Metalurgia e Siderurgia
PDG REALTY S/A EMPREENDIMENTOS E PARTICIPACOES;PDGP17;29/03/2012;15/03/2012;-;15/12/2018;6,8;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Construção Civil
MOURA DUBEUX ENGENHARIA S/A;MDUB12;29/10/2010;29/10/2010;-;01/10/2017;6,9;-;Reg;TR;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
SALUS EMPREENDIMENTOS LOGISTICOS II S/A;SAEM11;20/12/2011;16/11/2011;-;16/10/2018;6,9;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Transporte e Logística
AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A;AARJ11;15/01/2015;08/12/2014;-;08/12/2021;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;
ACECO TI S/A;ACEC14;26/06/2014;23/06/2014;-;23/06/2021;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;TI e Telecomunicações
ALGAR TI CONSULTORIA SA;AGTI11;14/04/2016;08/04/2016;-;08/04/2023;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;
ALGAR TELECOM SA;ALGA13;15/04/2014;15/04/2014;-;15/04/2021;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
ALGAR TELECOM SA;ALGA22;24/10/2012;15/09/2012;-;15/09/2019;7,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
MARISA LOJAS S/A;AMAR11;21/06/2011;21/06/2011;-;21/06/2018;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
MARISA LOJAS S/A;AMAR23;08/05/2014;25/04/2014;-;25/04/2021;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
AMPLA ENERGIA E SERVICOS S/A;AMPL26;14/07/2011;15/06/2011;-;15/06/2018;7,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
AMPLA ENERGIA E SERVICOS S/A;AMPL27;28/06/2012;15/06/2012;-;15/06/2019;7,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
ANDRADE GUTIERREZ CONCESSOES S/A;ANDG11;30/04/2013;02/05/2013;-;02/05/2020;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Empr e Part
ARMCO DO BRASIL SA;ARMB11;28/11/2013;28/11/2013;-;28/11/2020;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Metalurgia e Siderurgia
AUCKLAND PARTICIPACOES SA;AUCK11;26/06/2014;23/06/2014;-;23/06/2021;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Empr e Part
AUTOVIAS S/A;AVIA21;20/04/2010;15/03/2010;-;15/03/2017;7,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Transporte e Logística
BRAZPEIXES SPE SA;BRAX11;15/10/2014;25/09/2014;-;25/09/2021;7,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
ATENTO BRASIL SA;BRAZ11;10/12/2012;30/11/2012;-;11/12/2019;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;TI e Telecomunicações
BR MALLS PARTICIPACOES S/A;BRML22;09/02/2012;15/02/2012;-;15/02/2019;7,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Adm Shopping Centers
BR PROPERTIES SA;BRPR21;27/07/2012;15/07/2012;-;15/07/2019;7,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Construção Civil
BRASHOP S/A;BRSP12;30/08/2012;25/05/2012;-;25/05/2019;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Comércio Varejista
BRASOIL MANATI EXPLORACAO PETROLIFERA SA;BSOI11;03/01/2011;04/01/2011;-;04/01/2018;7,0;-;Reg;IGP-M;Correção Monetária;Escritural;Não Conversível;Real;Petróleo e Gás
CIA DE AGUAS DO BRASIL - CAB AMBIENTAL;CABA11;27/06/2013;28/06/2013;-;28/06/2020;7,0;-;Reg;PRÉ;Integrante de Juros;Escritural;Não Conversível;Quirografária;Saneamento
ANDRADE GUTIERREZ PARTICIPACOES SA;CANT22;27/06/2012;15/06/2012;-;15/06/2019;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Empr e Part
COMPANHIA AGRICOLA USINA JACAREZINHO;CAUJ12;25/09/2012;31/08/2012;-;31/08/2019;7,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Agronegócios
