Empresas com Registro no SND (*)- Gerado em 20/07/2016 17:45:40																																																																																										
																																																																																										
Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
ACEF11    	ACEF S.A.	'ÚNI	'001	ND	Registrado	BRFCEFDBS003	DISPENSA ICVM 476/09	11/05/2016			09/05/2016	22/12/2021	 - - - - - - 		09/05/2016	12/05/2016	-	AGE	19/04/2016			Escritural	Real	Simples	122	0,	0,	122	0	0	0,	0,	0	0,	0	R$	1.000.000,000000	R$	1.000.000,000000	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			100,000	6	MES	22/06/2018	-	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	28,500	252	6	MES	22/06/2016	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	4.67228E+13	N	 n 	
ADHE11    	ADHER INVESTIMENTOS S/A	'ÚNI	'001	ND	Registrado	BRADHRDBS000	DISPENSA ICVM 476/09	29/04/2013			15/04/2013	15/04/2018	 - - - - - - 		15/04/2013	30/04/2013	-	AGE	03/12/2012			Escritural	Real	Simples	7.55	0,	0,	0	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	6.938,498401	20/07/2016	IPCA	Correção Monetária	Padrão - SND	15	-		0,00	0,000	-			-	12	MES	15/04/2015	-	Percentual variável sobre o valor nominal atualizado em períodos uniformes	85,000	252	1	MES	15/04/2014	Útil	Exponencial	0,0000	0,	0,	-	-	-	-	-	0,	-	-	-							SEM BANCO LIQUIDANTE/MANDATARIO	GDC PARTNERS SERVICOS FIDUCIARIOS DISTRIBUIDORA DE TITULOS E VALORES  MOBILIARIO	ITAU CV S/A	POSITIVA CCTVM S/A	1.40408E+13	N	 n 	
ADMA11    	ADAMI S.A. - MADEIRAS	'ÚNI	'001	ND	Registrado	BRADMADBS006	DISPENSA ICVM 476/09	01/04/2015			27/03/2015	27/03/2020	 - - - - - - 		02/04/2015	02/04/2015	-	AGE	13/02/2015			Escritural	Real	Simples	15	0,	0,	12.85	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	8.823,540000	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			58,823	3	MES	27/03/2016	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	40,000	252	3	MES	27/06/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BANCO ITAU-BBA S/A	8.30545E+13	N	 n 	
AEGA11    	AEGEA SANEAMENTO E PARTICIPACOES S/A	'UNI	'001	ND	Excluído	BRAEGPDBS004	DISPENSA ICVM 476/09	13/11/2012			30/10/2012	25/10/2013	VENCIMENTO		30/10/2012	-	-	AGE	15/10/2012			Escritural	Real	Simples	300	0,	0,	0	0	300	0	0,	0	0,	0	R$	500.000,000000	R$	500.000,000000	25/10/2013	DI	Integrante de Juros	Padrão - SND		DU	   	100,00	0,000	-			-	-	-	-	-	-	30,000	252	6	MES	28/04/2013	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	HSBC CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A	8.8275E+12	N	 n 	
AEGA12    	AEGEA SANEAMENTO E PARTICIPACOES S/A	'ÚNI	'002	ND	Excluído	BRAEGPDBS012	DISPENSA ICVM 476/09	25/10/2013			25/10/2013	25/04/2015	VENCIMENTO		25/10/2013	28/10/2013	-	AGE	23/10/2013			Escritural	Real	Simples	150	0,	0,	0	0	150	0,	0,	0	0,	0	R$	1.000,000000	R$	1.000,000000	24/04/2015	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	-	-	-	-	-	23,000	252	6	MES	25/04/2014	Útil	Exponencial	0,0000	0,	0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	HSBC CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A	8.8275E+12	N	 n 	
AEGE11    	AEGEA INVESTIMENTOS S.A.	'ÚNI	'001	ND	Excluído	BRAEGEDBS008	DISPENSA ICVM 476/09	27/09/2013			24/09/2013	24/09/2019	RESGATE TOTAL ANTECIPADO		24/09/2013	01/10/2013	-	AGE	23/09/2013			Escritural	Real	Simples	140	0,	0,	0	0	140	0,	0,	0	0,	0	R$	1.000.000,000000	R$	947.500,000000	18/05/2015	DI	  - 	Padrão - SND		-		100,00	0,000	-			52,500	3	MES	24/03/2015	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	33,000	252	3	MES	24/12/2013	Útil	Exponencial	0,0000	0,	0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BCO VOTORANTIM S/A	1.53852E+13	N	 n 	
AEGE12    	AEGEA INVESTIMENTOS S.A.	'ÚNI	'002	ND	Registrado	BRAEGEDBS016	DISPENSA ICVM 476/09	14/05/2015			30/04/2015	30/04/2021	 - - - - - - 		30/04/2015	15/05/2015	-	AGE	22/04/2015			Escritural	Real	Simples	140	0,	0,	140	0	0	0,	0,	0	0,	0	R$	1.000,000000	R$	1.000,000000	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	3	MES	30/04/2018	-	Percentual variável sobre o valor nominal de emissão em períodos uniformes	33,000	252	3	MES	30/07/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	HSBC BANK BRASIL S/A - B. M.	1.53852E+13	N	 n 	
AEPA14    	ANHANGUERA EDUCACIONAL PARTICIPACOES S.A.	'ÚNI	'004	ND	Excluído	BRAEDUDBS043	DISPENSA ICVM 476/09	29/09/2011			28/09/2011	28/09/2018	RESGATE TOTAL ANTECIPADO		30/09/2011	-	-	RCA	19/09/2011			Escritural	Quirografária	Simples	400	0,	0,	0	0	400	0	0,	0	0,	0	R$	1.000.000,000000	R$	1.000.000,000000	27/02/2015	DI	Integrante de Juros	Padrão - SND		-	   	100,00	0,000	-			125,000	6	MES	28/03/2015	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	19,500	252	6	MES	28/03/2012	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	ITAU UNIBANCO S.A.	4.31039E+12	N	 n 	
AEPA15    	ANHANGUERA EDUCACIONAL PARTICIPACOES S.A.	'001	'005	ND	Excluído	BRAEDUDBS050	DISPENSA ICVM 476/09	14/12/2012			10/12/2012	10/12/2017	RESGATE TOTAL ANTECIPADO		17/12/2012	-	-	RCA	03/12/2012			Escritural	Quirografária	Simples	8.5	0,	0,	0	0	8.5	0	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	27/02/2015	DI	Integrante de Juros	Padrão - SND		-	   	100,00	0,000	-			333,333	6	MES	10/12/2016	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	15,000	252	6	MES	10/06/2013	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	ITAU UNIBANCO S.A.	4.31039E+12	N	 n 	
AEPA25    	ANHANGUERA EDUCACIONAL PARTICIPACOES S.A.	'002	'005	ND	Excluído	BRAEDUDBS068	DISPENSA ICVM 476/09	14/12/2012			10/12/2012	10/12/2019	RESGATE TOTAL ANTECIPADO		17/12/2012	-	-	RCA	03/12/2012			Escritural	Quirografária	Simples	8.5	0,	0,	0	0	8.5	0	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	27/02/2015	DI	Integrante de Juros	Padrão - SND		-	   	100,00	0,000	-			250,000	6	MES	10/06/2018	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	17,000	252	6	MES	10/06/2013	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	ITAU UNIBANCO S.A.	4.31039E+12	N	 n 	
AEPS12    	ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S/A	'UNI	'002	ND	Excluído	BRALPKDBS019	DISPENSA ICVM 476/09	29/09/2011			26/09/2011	26/09/2012	RESGATE TOTAL ANTECIPADO	28/11/2012	26/09/2011	29/09/2011	-	AGE	18/08/2011	   		Escritural	Quirografária	Simples	70	0,	0,	0	0	0	0	0	0	0	0	R$	500.000,000000	R$	0,000000		DI	Integrante de Juros	Padrão - SND	0	DU	   	100,00	0,000	-			0,0000	0	-	-	-	-	25,000	252	440	DIA	09/12/2012	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							BANCO BRADESCO S/A	BRL TRUST DTVM SA	BANCO BRADESCO S/A	BANCO BTG PACTUAL S/A	6.05373E+13	N	 n 	
AEPS15    	ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S/A	'ÚNI	'005	ND	Excluído	BRALPKDBS027	DISPENSA ICVM 476/09	21/11/2012			24/10/2012	24/10/2017	RESGATE TOTAL ANTECIPADO		22/11/2012	-	-	AGE	10/10/2012	RCA	10/10/2012	Escritural	Real	Simples	240	0,	0,	0	0	240	0	0,	0	0,	0	R$	1.000.000,000000	R$	870.800,000000	31/07/2015	DI	Integrante de Juros	Padrão - SND		-	   	100,00	0,000	-			32,300	1	MES	24/04/2015	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	24,000	252	6	MES	24/04/2013	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	6.05373E+13	N	 n 	
AEPS16    	ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S/A	'ÚNI	'006	ND	Registrado	BRALPKDBS035	DISPENSA ICVM 476/09	25/06/2014			09/06/2014	09/06/2019	 - - - - - - 		26/06/2014	26/06/2014	-	AGE	19/05/2014	RCA	19/05/2014	Escritural	Real	Simples	14.33	0,	0,	14.28	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	20/07/2016	DI	  - 	Padrão - SND		-		118,00	0,000	-			32,258	1	MES	09/12/2016	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	0,0000	0,	6	MES	09/12/2014	-	Linear	0,0000		0,	-	-	-	-	-	0,	-	-	-							BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO SANTANDER BRASIL S.A.	6.05373E+13	N	 n 	
AEPS17    	ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S/A	'ÚNI	'007	ND	Registrado	BRALPKDBS043	DISPENSA ICVM 476/09	30/07/2015			25/06/2015	25/06/2020	 - - - - - - 		31/07/2015	31/07/2015	-	AGE	17/06/2015			Escritural	Quirografária	Simples	26	0,	0,	26	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			32,258	1	MES	25/12/2017	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	24,000	252	6	MES	25/12/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							BANCO BRADESCO S/A	PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	6.05373E+13	N	 n 	
AESL13    	AES SUL DISTR. GAUCHA DE ENERGIA S.A	'001	'003	ND	Registrado	BRAESLDBS040	DISPENSA ICVM 476/09	22/06/2015			28/05/2015	26/09/2016	 - - - - - - 		28/05/2015	23/06/2015	-	AGE	30/04/2015			Escritural	Quirografária	Simples	10	0,	0,	10	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	-	-	-	-	-	24,000	252	0,	DIA	28/09/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU CV S/A	BANCO ITAU-BBA S/A	2.01644E+12	N	 n 	
AESL23    	AES SUL DISTR. GAUCHA DE ENERGIA S.A	'002	'003	ND	Registrado	BRAESLDBS057	DISPENSA ICVM 476/09	22/06/2015			28/05/2015	15/08/2021	 - - - - - - 		28/05/2015	23/06/2015	-	AGE	30/04/2015			Escritural	Quirografária	Simples	27.5	0,	0,	27.5	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	9.202,959831	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	6	MES	15/02/2017	-	Percentual variável sobre o valor nominal atualizado em períodos uniformes	37,500	252	0,	DIA	28/09/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU CV S/A	BANCO ITAU-BBA S/A	2.01644E+12	N	 n 	
AESL33    	AES SUL DISTR. GAUCHA DE ENERGIA S.A	'003	'003	ND	Registrado	BRAESLDBS065	DISPENSA ICVM 476/09	22/06/2015			28/05/2015	15/08/2021	 - - - - - - 		28/05/2015	23/06/2015	-	AGE	30/04/2015			Escritural	Quirografária	Simples	45	0,	0,	45	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	9.025,839793	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	6	MES	15/02/2017	-	Percentual variável sobre o valor nominal atualizado em períodos uniformes	37,500	252	0,	DIA	28/09/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU CV S/A	BANCO ITAU-BBA S/A	2.01644E+12	N	 n 	
AESL43    	AES SUL DISTR. GAUCHA DE ENERGIA S.A	'004	'003	ND	Registrado	BRAESLDBS073	DISPENSA ICVM 476/09	22/06/2015			28/05/2015	15/08/2021	 - - - - - - 		28/05/2015	23/06/2015	-	AGE	30/04/2015			Escritural	Quirografária	Simples	12.5	0,	0,	12.5	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	8.596,899225	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	6	MES	15/02/2017	-	Percentual variável sobre o valor nominal atualizado em períodos uniformes	37,500	252	0,	DIA	28/09/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU CV S/A	BANCO ITAU-BBA S/A	2.01644E+12	N	 n 	
AESS12    	AES SUL DISTR. GAUCHA DE ENERGIA S.A	'ÚNI	'002	ND	Registrado	BRAESLDBS032	DISPENSA ICVM 476/09	22/02/2013			15/02/2013	15/08/2021	 - - - - - - 		15/02/2013	25/02/2013	-	RCA	13/02/2013			Escritural	Quirografária	Simples	29	0,	0,	29	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	9.655,172414	20/07/2016	DI	Integrante de Juros	Padrão - SND		-		100,00	0,000	-			-	6	MES	15/02/2017	-	Percentual variável sobre o valor nominal de emissão em períodos uniformes	37,500	252	6	MES	15/08/2013	Útil	Exponencial	0,0000	0,	0,	-	-	-	-	-	0,	-	-	-							BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO BTG PACTUAL S/A	2.01644E+12	N	 n 	
